group,scope,task,variant,n,ba,accuracy,conditional_low,conditional_high,LL,LR,RL,RR
all,all,0,main,333,0.557504873294347,0.5585585585585585,0.5045371070743555,0.6091124484546837,102,69,78,84
task1,task,1,main,168,0.6066619418851878,0.6071428571428571,0.5483788018777951,0.6734293422447492,55,30,36,47
task2,task,2,main,165,0.5074330291433617,0.509090909090909,0.4211810586303487,0.5977158936153169,47,39,42,37
VisualCogA_Task-1,record,1,main,83,0.601453488372093,0.6024096385542169,0.512134583563155,0.7025691699604744,27,16,17,23
VisualCogA_Task-2,record,2,main,86,0.5019305019305019,0.5116279069767442,0.3865537773203012,0.6048387096774194,28,21,21,16
VisualCogB_Task-1,record,1,main,85,0.6124031007751938,0.611764705882353,0.5156926406926406,0.7047646057855927,28,14,19,24
VisualCogB_Task-2,record,2,main,79,0.5067567567567568,0.5063291139240507,0.4,0.644163763066202,19,18,21,21
all,all,0,record_lda,333,0.5544184535412606,0.5555555555555556,0.5056544387822964,0.6022922932330828,102,69,79,83
task1,task,1,record_lda,168,0.6068036853295535,0.6071428571428571,0.5421236322825799,0.6700805455093428,54,31,35,48
task2,task,2,record_lda,165,0.5005887547836326,0.503030303030303,0.4287947184059449,0.568600200898814,48,38,44,35
VisualCogA_Task-1,record,1,record_lda,83,0.588953488372093,0.5903614457831325,0.5092592592592593,0.6722661396574441,27,16,18,22
VisualCogA_Task-2,record,2,record_lda,86,0.47131825703254276,0.47674418604651164,0.3643410852713178,0.5664983164983165,25,24,21,16
VisualCogB_Task-1,record,1,record_lda,85,0.6237541528239203,0.6235294117647059,0.5348837209302325,0.7152580828133863,27,15,17,26
VisualCogB_Task-2,record,2,record_lda,79,0.537001287001287,0.5316455696202531,0.45833333333333337,0.6333333333333333,23,14,23,19
all,all,0,pooled,333,0.4801819363222872,0.4804804804804805,0.4285953106714204,0.5277855805243445,84,87,86,76
task1,task,1,pooled,168,0.476541459957477,0.47619047619047616,0.4093507554103716,0.537139621224007,38,47,41,42
task2,task,2,pooled,165,0.48263173388283775,0.48484848484848486,0.40082468955632966,0.5557944629237878,46,40,45,34
VisualCogA_Task-1,record,1,pooled,83,0.48343023255813955,0.4819277108433735,0.38601115319865315,0.5504461221688401,19,24,19,21
VisualCogA_Task-2,record,2,pooled,86,0.47821290678433537,0.4883720930232558,0.3416666666666667,0.5933014354066986,27,22,22,15
VisualCogB_Task-1,record,1,pooled,85,0.47037652270210406,0.47058823529411764,0.37660889355742294,0.574702380952381,19,23,22,21
VisualCogB_Task-2,record,2,pooled,79,0.48294723294723296,0.4810126582278481,0.4088317973366258,0.5728871242200795,19,18,23,19
all,all,0,qc_weighted,333,0.5464587394411955,0.5465465465465466,0.49374821382909917,0.5988667845015884,94,77,74,88
task1,task,1,qc_weighted,168,0.5419560595322467,0.5416666666666666,0.45930124892334195,0.6231921012601338,44,41,36,47
task2,task,2,qc_weighted,165,0.5501913453046806,0.5515151515151515,0.47663159229208923,0.617152395705036,50,36,38,41
VisualCogA_Task-1,record,1,qc_weighted,83,0.601453488372093,0.6024096385542169,0.4992063492063492,0.7308959156785244,27,16,17,23
VisualCogA_Task-2,record,2,qc_weighted,86,0.5052399338113623,0.5116279069767442,0.38640429338103754,0.5934986041090692,27,22,20,17
VisualCogB_Task-1,record,1,qc_weighted,85,0.48145071982281284,0.4823529411764706,0.38294314381270905,0.6006235827664399,17,25,19,24
VisualCogB_Task-2,record,2,qc_weighted,79,0.5965250965250966,0.5949367088607594,0.48267008985879334,0.6967300672331299,23,14,18,24
all,all,0,mechanistic,333,0.5425601039636128,0.5435435435435435,0.4979490683493679,0.592809967465247,99,72,80,82
task1,task,1,mechanistic,168,0.5712260807937632,0.5714285714285714,0.4961913290513834,0.638530204151293,50,35,37,46
task2,task,2,mechanistic,165,0.5127318221960553,0.5151515151515151,0.44202443829500115,0.5861867958986093,49,37,43,36
VisualCogA_Task-1,record,1,mechanistic,83,0.601453488372093,0.6024096385542169,0.5222222222222221,0.7025691699604744,27,16,17,23
VisualCogA_Task-2,record,2,mechanistic,86,0.5019305019305019,0.5116279069767442,0.38656330749354006,0.6098600121728546,28,21,21,16
VisualCogB_Task-1,record,1,mechanistic,85,0.54125138427464,0.5411764705882353,0.4093122337188071,0.6437467566165023,23,19,20,23
VisualCogB_Task-2,record,2,mechanistic,79,0.5218790218790219,0.5189873417721519,0.4526875699888018,0.6287878787878788,21,16,22,20
all,all,0,ecg_adjusted,333,0.5726120857699806,0.5735735735735735,0.5193126592910101,0.6206663374898239,104,67,75,87
task1,task,1,ecg_adjusted,168,0.61268603827073,0.6130952380952381,0.5466724405282007,0.6813924787930987,55,30,35,48
task2,task,2,ecg_adjusted,165,0.5317191639682073,0.5333333333333333,0.4559771825396825,0.6090887220389434,49,37,40,39
VisualCogA_Task-1,record,1,ecg_adjusted,83,0.6023255813953488,0.6024096385542169,0.531658817373103,0.6959815546772068,26,17,16,24
VisualCogA_Task-2,record,2,ecg_adjusted,86,0.5256480970766685,0.5348837209302325,0.40007112375533427,0.6290322580645161,29,20,20,17
VisualCogB_Task-1,record,1,ecg_adjusted,85,0.6243078626799556,0.6235294117647059,0.5177177177177177,0.7477718360071302,29,13,19,24
VisualCogB_Task-2,record,2,ecg_adjusted,79,0.5321750321750323,0.5316455696202531,0.4420454545454545,0.6389371657754009,20,17,20,22
all,all,0,qc_adjusted,333,0.5410981156595192,0.5405405405405406,0.4891791882539234,0.590545918174145,89,82,71,91
task1,task,1,qc_adjusted,168,0.571367824238129,0.5714285714285714,0.5081916210933017,0.6304167931591967,49,36,36,47
task2,task,2,qc_adjusted,165,0.5110391521931116,0.509090909090909,0.4303224306658963,0.5790447836743393,40,46,35,44
VisualCogA_Task-1,record,1,qc_adjusted,83,0.5424418604651162,0.5421686746987951,0.4487315010570825,0.6268115942028986,23,20,18,22
VisualCogA_Task-2,record,2,qc_adjusted,86,0.4881412024269167,0.4883720930232558,0.3446630888491353,0.6036036036036037,24,25,19,18
VisualCogB_Task-1,record,1,qc_adjusted,85,0.6002214839424143,0.6,0.5081632653061224,0.6771241522924959,26,16,18,25
VisualCogB_Task-2,record,2,qc_adjusted,79,0.5257400257400258,0.5316455696202531,0.4642857142857143,0.5804218852999341,16,21,16,26
all,all,0,order_adjusted,333,0.5456465237166992,0.5465465465465466,0.49620851626494944,0.6006912753900358,99,72,79,83
task1,task,1,order_adjusted,168,0.5534372785258681,0.5535714285714286,0.4745719852047153,0.6314632260851282,48,37,38,45
task2,task,2,order_adjusted,165,0.5370179570209008,0.5393939393939394,0.47744586577678905,0.6061302831855603,51,35,41,38
VisualCogA_Task-1,record,1,order_adjusted,83,0.563953488372093,0.5662650602409639,0.4908280922431866,0.6485507246376812,27,16,20,20
VisualCogA_Task-2,record,2,order_adjusted,86,0.5088251516822946,0.5232558139534884,0.4187970279249349,0.5967741935483871,30,19,22,15
VisualCogB_Task-1,record,1,order_adjusted,85,0.5406976744186047,0.5411764705882353,0.4093122337188071,0.679034769071095,21,21,18,25
VisualCogB_Task-2,record,2,order_adjusted,79,0.5575933075933076,0.5569620253164557,0.4772727272727273,0.6715686274509804,21,16,19,23
all,all,0,all_adjusted,333,0.5557179987004548,0.5555555555555556,0.5102655719550496,0.5999525073180871,94,77,71,91
task1,task,1,all_adjusted,168,0.5588944011339476,0.5595238095238095,0.48918452977266175,0.6318417134446878,52,33,41,42
task2,task,2,all_adjusted,165,0.5543126287901089,0.5515151515151515,0.5036112013745528,0.5978006490170228,42,44,30,49
VisualCogA_Task-1,record,1,all_adjusted,83,0.5308139534883721,0.5301204819277109,0.4022198731501057,0.6800664451827243,22,21,18,22
VisualCogA_Task-2,record,2,all_adjusted,86,0.5490899062327634,0.5465116279069767,0.45457537853851215,0.620213963963964,26,23,16,21
VisualCogB_Task-1,record,1,all_adjusted,85,0.5897009966777409,0.5882352941176471,0.5011204481792717,0.6611075825679108,30,12,23,20
VisualCogB_Task-2,record,2,all_adjusted,79,0.5495495495495495,0.5569620253164557,0.5236111111111111,0.5764221883173496,16,21,14,28
all,all,0,prestim_only,333,0.47319688109161795,0.4744744744744745,0.43640665874693213,0.5119349762914515,89,82,93,69
task1,task,1,prestim_only,168,0.42204110559886604,0.4226190476190476,0.3628359450321183,0.4867727076437019,40,45,52,31
task2,task,2,prestim_only,165,0.5253900500441566,0.5272727272727272,0.48275208680235593,0.5660499481826929,49,37,41,38
VisualCogA_Task-1,record,1,prestim_only,83,0.46744186046511627,0.46987951807228917,0.3642557651991614,0.5962899290150843,23,20,24,16
VisualCogA_Task-2,record,2,prestim_only,86,0.6001103143960287,0.6046511627906976,0.5318130630630631,0.6678378378378378,31,18,16,21
VisualCogB_Task-1,record,1,prestim_only,85,0.3767995570321152,0.3764705882352941,0.322898164654404,0.43933933933933933,17,25,28,15
VisualCogB_Task-2,record,2,prestim_only,79,0.44562419562419564,0.4430379746835443,0.41263700838168926,0.4836829836829837,18,19,25,17
