record,task,direction,channel,rmse,r2,sse,sst
VisualCogA_Task-1,1,-1,Fz,3.03386822983873,0.6506640324311286,1896.0974258211063,5427.718877665499
VisualCogA_Task-1,1,-1,F3,8.231951371145596,-1.3997958301265983,13959.594815642611,5816.992695960385
VisualCogA_Task-1,1,-1,F4,9.105302336470288,-0.7564988620374606,17078.745311537445,9723.174708879036
VisualCogA_Task-1,1,1,Fz,5.083013598053102,-0.09727772949093305,5322.4276110265055,4850.57471593429
VisualCogA_Task-1,1,1,F3,4.4901711827083055,0.3201387852279691,4153.297273504964,6109.036937630919
VisualCogA_Task-1,1,1,F4,5.183937108622386,0.6073094541246897,5535.880012907358,14097.309117966768
VisualCogA_Task-2,2,-1,Fz,6.948598975105593,0.9650419644052377,9946.303709668731,284521.2421249145
VisualCogA_Task-2,2,-1,F3,9.748957952623039,0.9290497564144092,19578.689319374473,275949.5715579291
VisualCogA_Task-2,2,-1,F4,7.671413369142453,0.9766129873898728,12123.220114533058,518374.0359075779
VisualCogA_Task-2,2,1,Fz,8.619934655061378,0.9696603552704505,15306.474332250791,504504.07276334835
VisualCogA_Task-2,2,1,F3,17.674669512940127,0.8997725997257057,64353.15213268098,642071.4490904124
VisualCogA_Task-2,2,1,F4,11.383280932340346,0.9719514298857496,26693.291465624163,951681.0075128331
VisualCogB_Task-1,1,-1,Fz,4.761165426147434,0.8309003943276522,4669.751420319186,27615.389177000376
VisualCogB_Task-1,1,-1,F3,9.231347090544777,0.6917450526904831,17554.860435858558,56949.160391680045
VisualCogB_Task-1,1,-1,F4,10.201142140979707,0.7185277944301811,21437.04000197724,76160.41505263228
VisualCogB_Task-1,1,1,Fz,6.85474601895831,0.7349586066230303,9679.43385479151,36520.460941828824
VisualCogB_Task-1,1,1,F3,2.8906631599040975,0.8433910621652239,1721.322301829509,10991.213692066027
VisualCogB_Task-1,1,1,F4,5.963380149589401,0.8518016941639295,7325.751978554484,49432.08990970423
VisualCogB_Task-2,2,-1,Fz,10.402525980587711,0.9157512404395932,22291.784636021275,264594.81127479335
VisualCogB_Task-2,2,-1,F3,16.055938211926474,-0.5225428789088074,53105.38928423135,34879.40472474017
VisualCogB_Task-2,2,-1,F4,14.390529299669952,0.8622783141598835,42659.99070607983,309755.0719470901
VisualCogB_Task-2,2,1,Fz,10.651444443254881,0.958728251433396,23371.373357915527,566280.1836515119
VisualCogB_Task-2,2,1,F3,14.552114119054327,0.7534140513862243,43623.389218799945,176909.46894596447
VisualCogB_Task-2,2,1,F4,13.461848116688206,0.943757209441419,37331.59907165705,663757.944812028
