permutation,task,ba
0,1,0.511268603827073
0,2,0.5469531939947012
1,1,0.47682494684620835
1,2,0.5585811009714454
2,1,0.47668320340184267
2,2,0.5342949661465999
3,1,0.4761162296243799
3,2,0.5110391521931116
4,1,0.523458540042523
4,2,0.5891963497203414
5,1,0.4527285613040397
5,2,0.48160141301148074
6,1,0.49333805811481224
6,2,0.4704886664704151
7,1,0.43968816442239544
7,2,0.4034442154842508
8,1,0.48773919206236716
8,2,0.40498969679128644
9,1,0.4104181431608788
9,2,0.509493670886076
10,1,0.5723600283486889
10,2,0.4889608478068884
11,1,0.5413890857547838
11,2,0.505740359140418
12,1,0.48128986534372786
12,2,0.5443773918163085
13,1,0.392487597448618
13,2,0.5031645569620253
14,1,0.4530120481927711
14,2,0.41713276420370915
15,1,0.5603118355776046
15,2,0.5370179570209008
16,1,0.46938341601700917
16,2,0.509493670886076
17,1,0.4943302622253721
17,2,0.5041948778333823
18,1,0.48731396172927005
18,2,0.485722696496909
