group,variant,n,balanced_accuracy,block_bootstrap_low,block_bootstrap_high,true_left_pred_left,true_left_pred_right,true_right_pred_left,true_right_pred_right
all,mechanistic5,333,0.5074723846653671,0.4673527941718576,0.541034287765231,87,84,80,82
all,physical4,333,0.5139701104613386,0.4749558186178447,0.5497059196342887,85,86,76,86
all,erp5,333,0.5139701104613386,0.463580815521605,0.5638839132247828,85,86,76,86
all,prestim4,333,0.45532813515269654,0.4179669259993606,0.4931293865420889,85,86,95,67
all,layered4,333,0.5266406757634827,0.49301963532843035,0.562199600294764,83,88,70,92
all,layered_erp5,333,0.5229044834307992,0.483661494020528,0.562974667414019,87,84,75,87
task1,mechanistic5,168,0.5185683912119065,0.47691221311757026,0.5649287619368241,39,46,35,48
task1,physical4,168,0.51268603827073,0.4772714646464647,0.5516108007998244,38,47,35,48
task1,erp5,168,0.5185683912119065,0.43145577010708586,0.597440221124148,39,46,35,48
task1,prestim4,168,0.41630049610205533,0.3547212104230877,0.47281403940886696,38,47,51,32
task1,layered4,168,0.5244507441530829,0.46781048316762597,0.587261618964478,40,45,35,48
task1,layered_erp5,168,0.50049610205528,0.4341929402495815,0.5685628922995944,39,46,38,45
task2,mechanistic5,165,0.49425964085958196,0.42662690473649983,0.5378746031577735,48,38,45,34
task2,physical4,165,0.5137621430674124,0.44078338206627676,0.5756821495020146,47,39,41,38
task2,erp5,165,0.5079481895790403,0.4475058951780196,0.5561957046332047,46,40,41,38
task2,prestim4,165,0.4947748012952605,0.4433105676526729,0.5498184458968772,47,39,44,35
task2,layered4,165,0.5284810126582278,0.4935855263157895,0.5599412099823428,43,43,35,44
task2,layered_erp5,165,0.544892552251987,0.4999270873516403,0.5843194558888156,48,38,37,42
VisualCogA_Task-1,mechanistic5,83,0.5334302325581395,0.47073170731707314,0.5905982905982906,19,24,15,25
VisualCogA_Task-1,physical4,83,0.5566860465116279,0.5005750431282346,0.6055555555555555,21,22,15,25
VisualCogA_Task-1,erp5,83,0.5075581395348837,0.42409430707303053,0.6100981767180926,20,23,18,22
VisualCogA_Task-1,prestim4,83,0.44593023255813957,0.34444444444444444,0.5553191489361702,19,24,22,18
VisualCogA_Task-1,layered4,83,0.5218023255813954,0.4409888357256778,0.6151515151515152,18,25,15,25
VisualCogA_Task-1,layered_erp5,83,0.49593023255813956,0.40160183066361554,0.6099378881987578,19,24,18,22
VisualCogB_Task-1,mechanistic5,85,0.5055370985603543,0.45864262990455995,0.566629339305711,20,22,20,23
VisualCogB_Task-1,physical4,85,0.46982281284606864,0.419327731092437,0.5210207811194653,17,25,20,23
VisualCogB_Task-1,erp5,85,0.528516057585825,0.4029933481152993,0.6485507246376812,19,23,17,26
VisualCogB_Task-1,prestim4,85,0.38898117386489484,0.32150900900900903,0.45229917498914457,19,23,29,14
VisualCogB_Task-1,layered4,85,0.5293466223698782,0.439802802283342,0.6299145299145299,22,20,20,23
VisualCogB_Task-1,layered_erp5,85,0.5055370985603543,0.41836734693877553,0.5949509803921568,20,22,20,23
VisualCogA_Task-2,mechanistic5,86,0.5151682294539437,0.3710622710622711,0.591157476403378,24,25,17,20
VisualCogA_Task-2,physical4,86,0.5184776613348042,0.3760711931443639,0.6423248882265276,23,26,16,21
VisualCogA_Task-2,erp5,86,0.5118587975730833,0.39063198255271425,0.5855164719918817,25,24,18,19
VisualCogA_Task-2,prestim4,86,0.5694980694980695,0.4738544474393531,0.6666666666666666,28,21,16,21
VisualCogA_Task-2,layered4,86,0.5995587424158852,0.5523648648648649,0.6403476841586598,23,26,10,27
VisualCogA_Task-2,layered_erp5,86,0.5661886376172091,0.4955406911928651,0.6109732180262134,29,20,17,20
VisualCogB_Task-2,mechanistic5,79,0.49099099099099097,0.4513888888888889,0.5382595648912227,24,13,28,14
VisualCogB_Task-2,physical4,79,0.5267052767052767,0.47220261018399656,0.5641025641025641,24,13,25,17
VisualCogB_Task-2,erp5,79,0.5099742599742599,0.4729613095238095,0.5548128342245989,21,16,23,19
VisualCogB_Task-2,prestim4,79,0.42342342342342343,0.39390395835021474,0.4672303725995628,19,18,28,14
VisualCogB_Task-2,layered4,79,0.47265122265122267,0.40608465608465605,0.5218377765173,20,17,25,17
VisualCogB_Task-2,layered_erp5,79,0.5186615186615187,0.47435897435897434,0.5557491289198606,19,18,20,22
