record,task,trial,fold,variant,truth,prediction,right_probability
VisualCogA_Task-1,1,1,0,main,-1,-1,0.4720181559127434
VisualCogA_Task-1,1,4,0,main,-1,-1,0.47040265790306607
VisualCogA_Task-1,1,5,0,main,1,-1,0.4856618271898039
VisualCogA_Task-1,1,6,0,main,-1,1,0.5405368041925879
VisualCogA_Task-1,1,7,0,main,-1,1,0.5145278209052934
VisualCogA_Task-1,1,8,0,main,-1,-1,0.4990164425661462
VisualCogA_Task-1,1,9,0,main,1,1,0.5205482458463377
VisualCogA_Task-1,1,10,0,main,1,1,0.5033454791132719
VisualCogA_Task-1,1,11,0,main,1,-1,0.4804848486852143
VisualCogA_Task-1,1,12,0,main,1,1,0.5025242979716311
VisualCogA_Task-1,1,13,0,main,-1,-1,0.4999575375444157
VisualCogA_Task-1,1,16,0,main,-1,1,0.51442525241785
VisualCogA_Task-1,1,17,0,main,1,1,0.5182077691680674
VisualCogA_Task-1,1,18,0,main,-1,-1,0.49835405840868663
VisualCogA_Task-1,1,19,0,main,-1,1,0.5371268990670055
VisualCogB_Task-1,1,1,0,main,-1,-1,0.486807471639688
VisualCogB_Task-1,1,2,0,main,-1,-1,0.4861075550250838
VisualCogB_Task-1,1,3,0,main,1,1,0.5172005362504949
VisualCogB_Task-1,1,4,0,main,-1,-1,0.47614931952428025
VisualCogB_Task-1,1,5,0,main,1,-1,0.4461186623357871
VisualCogB_Task-1,1,7,0,main,1,1,0.5125463008727632
VisualCogB_Task-1,1,8,0,main,-1,1,0.5430259595388391
VisualCogB_Task-1,1,9,0,main,-1,1,0.5190092320924043
VisualCogB_Task-1,1,10,0,main,-1,1,0.515610791704697
VisualCogB_Task-1,1,11,0,main,1,-1,0.4862957095002
VisualCogB_Task-1,1,12,0,main,-1,1,0.5230254730082865
VisualCogB_Task-1,1,13,0,main,1,-1,0.46481108447387054
VisualCogB_Task-1,1,15,0,main,-1,1,0.5073131613883834
VisualCogB_Task-1,1,16,0,main,1,1,0.5074619596007393
VisualCogB_Task-1,1,17,0,main,-1,-1,0.48791634870400485
VisualCogB_Task-1,1,18,0,main,-1,1,0.5186105277059405
VisualCogB_Task-1,1,19,0,main,1,-1,0.4542953636592035
VisualCogB_Task-1,1,20,0,main,-1,1,0.5187585973722263
VisualCogA_Task-1,1,1,0,amplitude4,-1,-1,0.4720181559127434
VisualCogA_Task-1,1,4,0,amplitude4,-1,-1,0.47040265790306607
VisualCogA_Task-1,1,5,0,amplitude4,1,-1,0.4856618271898039
VisualCogA_Task-1,1,6,0,amplitude4,-1,1,0.5405368041925879
VisualCogA_Task-1,1,7,0,amplitude4,-1,1,0.5145278209052934
VisualCogA_Task-1,1,8,0,amplitude4,-1,-1,0.4990164425661462
VisualCogA_Task-1,1,9,0,amplitude4,1,1,0.5205482458463377
VisualCogA_Task-1,1,10,0,amplitude4,1,1,0.5033454791132719
VisualCogA_Task-1,1,11,0,amplitude4,1,-1,0.4804848486852143
VisualCogA_Task-1,1,12,0,amplitude4,1,1,0.5025242979716311
VisualCogA_Task-1,1,13,0,amplitude4,-1,-1,0.4999575375444157
VisualCogA_Task-1,1,16,0,amplitude4,-1,1,0.51442525241785
VisualCogA_Task-1,1,17,0,amplitude4,1,1,0.5182077691680674
VisualCogA_Task-1,1,18,0,amplitude4,-1,-1,0.49835405840868663
VisualCogA_Task-1,1,19,0,amplitude4,-1,1,0.5371268990670055
VisualCogB_Task-1,1,1,0,amplitude4,-1,-1,0.486807471639688
VisualCogB_Task-1,1,2,0,amplitude4,-1,-1,0.4861075550250838
VisualCogB_Task-1,1,3,0,amplitude4,1,1,0.5172005362504949
VisualCogB_Task-1,1,4,0,amplitude4,-1,-1,0.47614931952428025
VisualCogB_Task-1,1,5,0,amplitude4,1,-1,0.4461186623357871
VisualCogB_Task-1,1,7,0,amplitude4,1,1,0.5125463008727632
VisualCogB_Task-1,1,8,0,amplitude4,-1,1,0.5430259595388391
VisualCogB_Task-1,1,9,0,amplitude4,-1,1,0.5190092320924043
VisualCogB_Task-1,1,10,0,amplitude4,-1,1,0.515610791704697
VisualCogB_Task-1,1,11,0,amplitude4,1,-1,0.4862957095002
VisualCogB_Task-1,1,12,0,amplitude4,-1,1,0.5230254730082865
VisualCogB_Task-1,1,13,0,amplitude4,1,-1,0.46481108447387054
VisualCogB_Task-1,1,15,0,amplitude4,-1,1,0.5073131613883834
VisualCogB_Task-1,1,16,0,amplitude4,1,1,0.5074619596007393
VisualCogB_Task-1,1,17,0,amplitude4,-1,-1,0.48791634870400485
VisualCogB_Task-1,1,18,0,amplitude4,-1,1,0.5186105277059405
VisualCogB_Task-1,1,19,0,amplitude4,1,-1,0.4542953636592035
VisualCogB_Task-1,1,20,0,amplitude4,-1,1,0.5187585973722263
VisualCogA_Task-1,1,1,0,temporal24,-1,-1,0.4948726820379514
VisualCogA_Task-1,1,4,0,temporal24,-1,1,0.5220579711780964
VisualCogA_Task-1,1,5,0,temporal24,1,1,0.5506981035728332
VisualCogA_Task-1,1,6,0,temporal24,-1,1,0.613320722059833
VisualCogA_Task-1,1,7,0,temporal24,-1,1,0.5287126306547469
VisualCogA_Task-1,1,8,0,temporal24,-1,-1,0.4680934841979526
VisualCogA_Task-1,1,9,0,temporal24,1,1,0.512466572295371
VisualCogA_Task-1,1,10,0,temporal24,1,1,0.5075886013826
VisualCogA_Task-1,1,11,0,temporal24,1,1,0.5387684334522281
VisualCogA_Task-1,1,12,0,temporal24,1,-1,0.49691465438671023
VisualCogA_Task-1,1,13,0,temporal24,-1,-1,0.4912453420943122
VisualCogA_Task-1,1,16,0,temporal24,-1,1,0.5056615890959633
VisualCogA_Task-1,1,17,0,temporal24,1,1,0.5404492924408169
VisualCogA_Task-1,1,18,0,temporal24,-1,-1,0.47168645038780865
VisualCogA_Task-1,1,19,0,temporal24,-1,1,0.7182798585639644
VisualCogB_Task-1,1,1,0,temporal24,-1,1,0.5078050175533393
