record,task,model,window,n,rmse,r2,difference_rmse,sse,sst
VisualCogA_Task-1,1,common,primary_0_500,83,85.46342113645773,-0.03362661404209155,20.887964795150044,234611666.833755,226979127.32363242
VisualCogA_Task-1,1,common,full_0_800,83,111.96694066655479,-0.018173831745223135,25.806216884739165,643052145.0794728,631574025.0142112
VisualCogA_Task-1,1,common,late_600_800,83,152.58549731598,-0.007631601808602673,33.29614018893154,301459660.5176037,299176464.8672316
VisualCogA_Task-1,1,erp,primary_0_500,83,84.71883100538295,-0.015694368461651287,15.795587163384829,230541421.38095355,226979127.32363242
VisualCogA_Task-1,1,erp,full_0_800,83,111.72919690638136,-0.013854566051761275,18.827720208625898,640324209.0603473,631574025.0142112
VisualCogA_Task-1,1,erp,late_600_800,83,153.26431435059683,-0.0166169769599398,24.42061610638029,304147873.29088664,299176464.8672316
VisualCogA_Task-1,1,equal_gain,primary_0_500,83,85.37766855742625,-0.03155340707912657,19.74157833065356,234141092.1265399,226979127.32363242
VisualCogA_Task-1,1,equal_gain,full_0_800,83,111.9232778800123,-0.017379889563862605,25.06358284568913,642550711.8203623,631574025.0142112
VisualCogA_Task-1,1,equal_gain,late_600_800,83,152.5932293693618,-0.007733724996872748,33.09147680774442,301490213.37205136,299176464.8672316
VisualCogA_Task-1,1,task_gain,primary_0_500,83,84.52702383574018,-0.011100421116899462,19.818675021863346,229498691.2216711,226979127.32363242
VisualCogA_Task-1,1,task_gain,full_0_800,83,111.45460855914935,-0.008877343175257568,25.166687087623878,637180724.3748411,631574025.0142112
VisualCogA_Task-1,1,task_gain,late_600_800,83,152.5427077362029,-0.0070665404097514095,33.25727213543358,301290607.4458625,299176464.8672316
VisualCogA_Task-2,2,common,primary_0_500,86,117.29384340430855,-0.038429422945740255,29.39134735773352,457888620.6058534,440943419.44486564
VisualCogA_Task-2,2,common,full_0_800,86,176.18486573164873,-0.15266375861699966,38.32369209685121,1649772750.205698,1431269733.1484983
VisualCogA_Task-2,2,common,late_600_800,86,261.3468841565137,-0.4452424436012652,52.296810527811466,916342232.8031967,634040493.939445
VisualCogA_Task-2,2,erp,primary_0_500,86,113.87820946895589,0.0211687848442913,8.52668639162631,431609183.0701312,440943419.44486564
VisualCogA_Task-2,2,erp,full_0_800,86,156.24767193296518,0.09344835728453815,9.514316571712335,1297519927.7546918,1431269733.1484983
VisualCogA_Task-2,2,erp,late_600_800,86,218.5205779386714,-0.010393944832851165,11.598120739853597,640630675.8552454,634040493.939445
VisualCogA_Task-2,2,equal_gain,primary_0_500,86,117.30496721731824,-0.03862639564499237,28.310319784071,457975474.4213989,440943419.44486564
VisualCogA_Task-2,2,equal_gain,full_0_800,86,176.15261323626567,-0.15224178276063283,37.80872311515498,1649168788.9343607,1431269733.1484983
VisualCogA_Task-2,2,equal_gain,late_600_800,86,261.2542489100779,-0.4442180834816767,52.46421902217229,915692747.0070009,634040493.939445
VisualCogA_Task-2,2,task_gain,primary_0_500,86,115.99581722781959,-0.015573145843897906,24.51663449076271,447810295.6247876,440943419.44486564
VisualCogA_Task-2,2,task_gain,full_0_800,86,175.9316056304463,-0.14935230591718573,36.011402259053426,1645033168.1837018,1431269733.1484983
VisualCogA_Task-2,2,task_gain,late_600_800,86,262.4871608633465,-0.45788136542067015,52.8868369050406,924355821.0364343,634040493.939445
VisualCogB_Task-1,1,common,primary_0_500,85,100.30182503784847,-0.009924020815057277,24.700456826726334,330938703.6043426,327686733.6388921
VisualCogB_Task-1,1,common,full_0_800,85,141.16085105281476,-0.0070901517735832975,37.60090699695015,1046733049.7487339,1039363802.6400473
VisualCogB_Task-1,1,common,late_600_800,85,202.22132775165488,-0.017922495645091407,54.52128029552121,542247351.1727359,532700037.0780643
VisualCogB_Task-1,1,erp,primary_0_500,85,100.12453597750094,-0.006356982198842731,22.5649929461321,329769832.37143147,327686733.6388921
VisualCogB_Task-1,1,erp,full_0_800,85,140.649153770266,0.00019786445372627082,30.503541807139765,1039158149.4890151,1039363802.6400473
VisualCogB_Task-1,1,erp,late_600_800,85,201.06442603017217,-0.006308807900938351,42.3033933250022,536060739.28081256,532700037.0780643
VisualCogB_Task-1,1,equal_gain,primary_0_500,85,100.41868012259114,-0.012278584206542709,26.161699373458923,331710262.79124415,327686733.6388921
VisualCogB_Task-1,1,equal_gain,full_0_800,85,141.19573876425454,-0.0075880151987353095,38.34928240284061,1047250510.9714954,1039363802.6400473
VisualCogB_Task-1,1,equal_gain,late_600_800,85,202.16783950226724,-0.017384078731180308,54.56742701340035,541960536.4627321,532700037.0780643
VisualCogB_Task-1,1,task_gain,primary_0_500,85,100.16136439271068,-0.007097447035173676,26.037388986085595,330012472.8750232,327686733.6388921
VisualCogB_Task-1,1,task_gain,full_0_800,85,141.13472068167144,-0.00671734013930414,38.312335267476705,1046345562.8308611,1039363802.6400473
